Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Registeel,100,379,steel,none,122.8,242.2,171,5086235,49,2500,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Registeel (Shadow),99.1,379,steel,none,122.8,242.2,171,5086235,49,2500,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Regirock,95.1,377,rock,none,133.9,237.1,146,4634630,30,2494,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Pidgeot,94.6,18,normal,flying,152.1,142,176,3801427,50,2407,Wing Attack,Feather Dance,Brave Bird,7,7,1,10000
Raikou (Shadow),94.6,243,electric,none,170.1,141.6,152,3660484,27,2500,Volt Switch,Wild Charge,Shadow Ball,3,4,20,100000
Skarmory,94,227,steel,flying,137,202.5,149,4132945,50,2383,Steel Wing,Brave Bird,Sky Attack,8,8,5,75000
Regirock (Shadow),93.7,377,rock,none,133.9,237.1,146,4634630,30,2494,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Skarmory (Shadow),93.4,227,steel,flying,137,202.5,149,4132945,50,2383,Steel Wing,Brave Bird,Sky Attack,8,8,5,75000
Turtonator,93.2,776,fire,dragon,150.4,192.4,142,4110036,50,2486,Incinerate,Dragon Pulse,Overheat,3,3,5,75000
Raikou,92.7,243,electric,none,170.1,141.6,152,3660484,27,2500,Volt Switch,Wild Charge,Shadow Ball,3,4,20,100000
Electivire (Shadow),92.4,466,electric,none,185.1,130.2,139,3351363,30,2490,Thunder Shock,Wild Charge,Ice Punch,5,5,5,75000
Venusaur (Shadow),92.1,3,grass,poison,158.5,155.4,160,3939799,39,2499,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Zygarde (Complete Forme),92.1,718,dragon,ground,126.2,146.9,266,4934387,25,2498,Dragon Tail,Crunch,Earthquake,5,8,20,100000
Tentacruel,91.8,73,water,poison,141.2,185.2,168,4390693,48,2493,Poison Jab,Scald,Blizzard,8,11,3,50000
Ho-Oh (Shadow),91.4,250,fire,flying,158,167.1,148,3907144,23.5,2487,Incinerate,Brave Bird,Sacred Fire,3,4,20,100000
